summary,address,dtstart,dtend,lat,long
Verdi Mystery Book Club, Verdi Library,2011-10-15 01:00:00,2011-10-15 02:00:00,39.52194818,-119.9901679
Bilingual Storytime, Sparks Library,2011-10-15 01:00:00,2011-10-15 02:00:00,39.544131,-119.758756
Knitting Club, Northwest Reno Library,2011-10-15 01:00:00,2011-10-15 02:00:00,39.53816315,-119.8851085
Storytime, Verdi Library,2011-10-15 10:00:00,2011-10-15 11:00:00,39.52194818,-119.9901679
"""Wild Things!"" coming to Bartley Ranch Regional Park"," Bartley Ranch Regional Park, Flying B Pavilion",2011-10-15 02:00:00,2011-10-15 03:00:00,39.46803798,-119.8050928
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-15 02:00:00,2011-10-15 03:00:00,39.46803798,-119.8050928
Clickets Knitting Group, Spanish Springs Library,2011-10-16 02:00:00,2011-10-16 03:00:00,39.62117699,-119.7249484
Mystery Book Club: The Terra Cotta Dog, Spanish Springs Library,2011-10-16 01:00:00,2011-10-16 02:00:00,39.62117699,-119.7249484
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-16 01:00:00,2011-10-16 02:00:00,39.46803798,-119.8050928
Teen Video Gaming Program!!, Downtown Reno Library,2011-10-16 03:00:00,2011-10-16 04:00:00,39.5223803,-119.8102013
Family Storytime, Spanish Springs Library,2011-10-17 10:00:00,2011-10-17 11:00:00,39.62117699,-119.7249484
Local photographers share their images of fall color in Bartley Ranch Park’s Sierra Autumn Exhibit," Bartley Ranch Regional Park, Western Heritage Interpretive Center",2011-10-17 10:00:00,2011-10-17 11:00:00,39.46803798,-119.8050928
Preschool Storytime, Sierra View Library,2011-10-18 10:00:00,2011-10-18 11:00:00,39.4858181,-119.79563
Preschool Storytime, South Valleys Library,2011-10-18 11:00:00,2011-10-18 12:00:00,39.404466,-119.759088
Knitting Club, South Valleys Library,2011-10-18 05:00:00,2011-10-18 06:00:00,39.404466,-119.759088
